lap2D_5pt_n1000.mtx |  Average over 45136: 0.0143144 s
Rank 5 time in mat_vec: 0.0138547 s
Rank 7 time in mat_vec: 0.013605 s
Rank 6 time in mat_vec: 0.0161713 s
Rank 4 time in mat_vec: 0.0161806 s
Rank 0 time in mat_vec: 0.0163497 s
Rank 2 time in mat_vec: 0.0164916 s
Rank 1 time in mat_vec: 0.0117064 s
Rank 3 time in mat_vec: 0.0116897 s
Rank 7 time in mat_vec: 0.0134216 s
Rank 5 time in mat_vec: 0.0136373 s
Rank 4 time in mat_vec: 0.0159203 s
Rank 6 time in mat_vec: 0.0159134 s
Rank 0 time in mat_vec: 0.0157492 s
Rank 2 time in mat_vec: 0.0159981 s
Rank 1 time in mat_vec: 0.0114617 s
Rank 3 time in mat_vec: 0.0114451 s
Rank 7 time in mat_vec: 0.0133087 s
Rank 5 time in mat_vec: 0.0134952 s
Rank 6 time in mat_vec: 0.0143783 s
Rank 4 time in mat_vec: 0.0143528 s
Rank 0 time in mat_vec: 0.0144 s
Rank 2 time in mat_vec: 0.014349 s
Rank 1 time in mat_vec: 0.0115795 s
Rank 3 time in mat_vec: 0.0115045 s
Rank 7 time in mat_vec: 0.0133366 s
Rank 5 time in mat_vec: 0.0135474 s
Rank 4 time in mat_vec: 0.0138524 s
Rank 2 time in mat_vec: 0.0139106 s
Rank 6 time in mat_vec: 0.0139166 s
Rank 0 time in mat_vec: 0.0139389 s
Rank 1 time in mat_vec: 0.0114724 s
Rank 3 time in mat_vec: 0.0114456 s
Rank 7 time in mat_vec: 0.0131816 s
Rank 5 time in mat_vec: 0.0133197 s
Rank 2 time in mat_vec: 0.0137467 s
Rank 0 time in mat_vec: 0.0135838 s
Rank 4 time in mat_vec: 0.0134823 s
Rank 6 time in mat_vec: 0.0137518 s
Rank 1 time in mat_vec: 0.0113283 s
Rank 3 time in mat_vec: 0.0113053 s
Rank 7 time in mat_vec: 0.0129686 s
Rank 5 time in mat_vec: 0.0131815 s
Rank 4 time in mat_vec: 0.0131875 s
Rank 2 time in mat_vec: 0.0131827 s
Rank 0 time in mat_vec: 0.0133207 s
Rank 6 time in mat_vec: 0.0132195 s
Rank 1 time in mat_vec: 0.012797 s
Rank 3 time in mat_vec: 0.0126803 s
Rank 5 time in mat_vec: 0.014483 s
Rank 7 time in mat_vec: 0.0144408 s
Rank 4 time in mat_vec: 0.0145712 s
Rank 6 time in mat_vec: 0.0141877 s
Rank 0 time in mat_vec: 0.0143683 s
Rank 2 time in mat_vec: 0.0141967 s
Rank 1 time in mat_vec: 0.0121972 s
Rank 3 time in mat_vec: 0.012151 s
Rank 7 time in mat_vec: 0.0143477 s
Rank 5 time in mat_vec: 0.0144441 s
Rank 4 time in mat_vec: 0.0155 s
Rank 6 time in mat_vec: 0.0157076 s
Rank 0 time in mat_vec: 0.0159346 s
Rank 2 time in mat_vec: 0.0158102 s
Rank 1 time in mat_vec: 0.0116248 s
Rank 3 time in mat_vec: 0.011503 s
Rank 7 time in mat_vec: 0.0134089 s
Rank 5 time in mat_vec: 0.0135827 s
Rank 2 time in mat_vec: 0.0146038 s
Rank 4 time in mat_vec: 0.014834 s
Rank 6 time in mat_vec: 0.0146538 s
Rank 0 time in mat_vec: 0.0147259 s
Rank 1 time in mat_vec: 0.012076 s
Rank 3 time in mat_vec: 0.0121372 s
Rank 7 time in mat_vec: 0.0139948 s
Rank 5 time in mat_vec: 0.0141421 s
Rank 6 time in mat_vec: 0.0147978 s
Rank 4 time in mat_vec: 0.0147018 s
Rank 2 time in mat_vec: 0.0151936 s
Rank 0 time in mat_vec: 0.0147664 s
Rank 1 time in mat_vec: 0.0116517 s
Rank 3 time in mat_vec: 0.0116298 s
Rank 7 time in mat_vec: 0.013503 s
Rank 5 time in mat_vec: 0.0136774 s
Rank 6 time in mat_vec: 0.0145956 s
Rank 0 time in mat_vec: 0.0145344 s
Rank 4 time in mat_vec: 0.0146279 s
Rank 2 time in mat_vec: 0.0146151 s
Rank 1 time in mat_vec: 0.0126551 s
Rank 3 time in mat_vec: 0.012568 s
Rank 5 time in mat_vec: 0.0145171 s
Rank 7 time in mat_vec: 0.0144189 s
Rank 4 time in mat_vec: 0.0156723 s
Rank 6 time in mat_vec: 0.0157161 s
Rank 0 time in mat_vec: 0.0157922 s
Rank 2 time in mat_vec: 0.0161438 s
Rank 1 time in mat_vec: 0.0116579 s
Rank 3 time in mat_vec: 0.0117096 s
Rank 7 time in mat_vec: 0.0134878 s
Rank 5 time in mat_vec: 0.0136981 s
Rank 0 time in mat_vec: 0.0143129 s
Rank 2 time in mat_vec: 0.0145219 s
Rank 4 time in mat_vec: 0.014456 s
Rank 6 time in mat_vec: 0.0143856 s
Rank 1 time in mat_vec: 0.0113978 s
Rank 3 time in mat_vec: 0.0113406 s
Rank 7 time in mat_vec: 0.0131604 s
Rank 5 time in mat_vec: 0.0132908 s
Rank 2 time in mat_vec: 0.0139595 s
Rank 6 time in mat_vec: 0.0139073 s
Rank 4 time in mat_vec: 0.0138532 s
Rank 0 time in mat_vec: 0.014133 s
Rank 1 time in mat_vec: 0.0139247 s
Rank 3 time in mat_vec: 0.0142738 s
Rank 5 time in mat_vec: 0.0158574 s
Rank 7 time in mat_vec: 0.0160834 s
Rank 4 time in mat_vec: 0.016602 s
Rank 6 time in mat_vec: 0.0167432 s
Rank 2 time in mat_vec: 0.0170267 s
Rank 0 time in mat_vec: 0.017193 s
Rank 1 time in mat_vec: 0.0132898 s
Rank 3 time in mat_vec: 0.0132562 s
Rank 5 time in mat_vec: 0.0155893 s
Rank 7 time in mat_vec: 0.0157842 s
Rank 6 time in mat_vec: 0.0167458 s
Rank 4 time in mat_vec: 0.0169202 s
Rank 2 time in mat_vec: 0.0169866 s
Rank 0 time in mat_vec: 0.0168821 s
Rank 1 time in mat_vec: 0.0132514 s
Rank 3 time in mat_vec: 0.0132976 s
Rank 7 time in mat_vec: 0.0155357 s
Rank 5 time in mat_vec: 0.0154416 s
Rank 6 time in mat_vec: 0.0164451 s
Rank 4 time in mat_vec: 0.0162566 s
Rank 2 time in mat_vec: 0.0161778 s
Rank 0 time in mat_vec: 0.0163322 s
Rank 1 time in mat_vec: 0.0121445 s
Rank 3 time in mat_vec: 0.0121175 s
Rank 7 time in mat_vec: 0.0139854 s
Rank 5 time in mat_vec: 0.0141791 s
Rank 6 time in mat_vec: 0.0161894 s
Rank 4 time in mat_vec: 0.0164185 s
Rank 2 time in mat_vec: 0.0165854 s
Rank 0 time in mat_vec: 0.016529 s
Rank 1 time in mat_vec: 0.0121411 s
Rank 3 time in mat_vec: 0.0119919 s
Rank 7 time in mat_vec: 0.0139652 s
Rank 5 time in mat_vec: 0.014378 s
Rank 4 time in mat_vec: 0.0157424 s
Rank 6 time in mat_vec: 0.0156508 s
Rank 2 time in mat_vec: 0.0157853 s
Rank 0 time in mat_vec: 0.0157886 s
Rank 1 time in mat_vec: 0.013545 s
Rank 3 time in mat_vec: 0.0135463 s
Rank 7 time in mat_vec: 0.0153343 s
Rank 5 time in mat_vec: 0.0155618 s
